PLAYER	2021/22 	2022/23	2023/24	2024/25
414.	Oshae Brissett	$1,701,593	$1,846,738	$0	$0
416.	Herb Jones	$1,700,000	$1,785,000	$1,836,096	$0
417.	Gabriel Deck	$1,690,507	$0	$0	$0
418.	Matt Thomas	$1,669,178	$0	$0	$0
418.	Gary Payton II	$1,669,178	$0	$0	$0
418.	Javonte Green	$1,669,178	$1,815,677	$0	$0
418.	Max Strus	$1,669,178	$1,815,677	$0	$0
418.	Gabe Vincent	$1,669,178	$1,815,677	$0	$0
423.	Robert Woodard	$1,619,015	$0	$0	$0
424.	Lance Stephenson	$1,614,825	$0	$0	$0
425.	Deividas Sirvydis	$1,603,559	$0	$0	$0
425.	Daniel Oturu	$1,603,559	$0	$0	$0
427.	Kevin Pangos	$1,569,178	$0	$0	$0
428.	Bismack Biyombo	$1,518,213	$0	$0	$0
429.	Sam Merrill	$1,517,981	$0	$0	$0
429.	Jordan Nwora	$1,517,981	$0	$0	$0
429.	CJ Elleby	$1,517,981	$0	$0	$0
429.	Elijah Hughes	$1,517,981	$0	$0	$0
429.	Jahmi'us Ramsey	$1,517,981	$0	$0	$0
429.	Anthony Gill	$1,517,981	$0	$0	$0
429.	Jae'Sean Tate	$1,517,981	$1,782,621	$0	$0
429.	Nick Richards	$1,517,981	$1,782,621	$0	$0
429.	Lamar Stevens	$1,517,981	$1,782,621	$1,930,681	$0
429.	KJ Martin	$1,517,981	$1,782,621	$1,930,681	$0
429.	Xavier Tillman	$1,517,981	$1,782,621	$1,930,681	$0
429.	Naji Marshall	$1,517,981	$1,782,621	$1,930,681	$0
429.	Isaiah Joe	$1,517,981	$1,782,621	$0	$0
429.	Paul Reed	$1,517,981	$1,782,621	$0	$0
429.	Tre Jones	$1,517,981	$1,782,621	$0	$0
429.	Vernon Carey	$1,517,981	$1,782,621	$1,930,681	$0
445.	Isaiah Todd	$1,500,000	$1,563,518	$1,836,096	$1,988,598
446.	Saben Lee	$1,489,065	$1,752,638	$1,902,137	$0
446.	Omer Yurtseven	$1,489,065	$1,752,638	$0	$0
448.	JR Smith	$1,456,667	$0	$0	$0
449.	Stanley Johnson	$1,368,998	$2,351,521	$0	$0
450.	Aaron Wiggins	$1,305,761	$1,563,518	$1,836,096	$1,988,598
451.	Marquese Chriss	$1,292,900	$2,193,920	$0	$0
452.	JT Thor	$1,250,000	$1,563,518	$1,836,096	$1,988,598
453.	DeMarre Carroll	$1,242,340	$0	$0	$0
454.	Jabari Parker	$1,168,286	$0	$0	$0
455.	Alfonzo McKinnie	$1,090,007	$0	$0	$0
456.	Zhaire Smith	$1,068,200	$1,068,200	$0	$0
457.	Jason Preston	$1,062,303	$1,563,518	$1,836,096	$0
458.	Isaiah Livers	$1,057,260	$1,563,518	$1,836,096	$0
459.	Guerschon Yabusele	$1,039,080	$0	$0	$0
460.	Denzel Valentine	$1,005,633	$0	$0	$0
461.	Alize Johnson	$1,003,740	$0	$0	$0
462.	Kyle Singler	$999,200	$999,200	$0	$0
463.	Kelan Martin	$993,760	$0	$0	$0
464.	Miye Oni	$946,261	$0	$0	$0
465.	Luka Garza	$925,258	$1,563,518	$0	$0
465.	Dalano Banton	$925,258	$1,563,518	$0	$0
465.	Ayo Dosunmu	$925,258	$1,563,518	$0	$0
465.	Marko Simonovic	$925,258	$1,563,518	$1,836,096	$0
465.	BJ Boston	$925,258	$1,563,518	$1,836,096	$0
465.	Austin Reaves	$925,258	$1,563,518	$0	$0
465.	Miles McBride	$925,258	$1,563,518	$1,836,096	$0
465.	Vit Krejci	$925,258	$1,563,518	$1,836,096	$1,988,598
465.	Charles Bassey	$925,258	$1,563,518	$1,836,096	$0
465.	Greg Brown	$925,258	$1,563,518	$1,836,096	$0
465.	Jock Landale	$925,258	$1,563,518	$0	$0
465.	Jared Butler	$925,258	$1,563,518	$0	$0
477.	Daishen Nix	$923,078	$1,563,518	$1,836,096	$1,988,598
478.	Isaiah Thomas	$910,926	$0	$0	$0
479.	Mamadi Diakite	$869,078	$0	$0	$0
480.	Caleb Martin	$844,011	$1,576,305	$0	$0
481.	Brad Wanamaker	$814,918	$0	$0	$0
482.	Luke Kornet	$812,364	$0	$0	$0
483.	Wayne Selden	$812,363	$0	$0	$0
484.	Gary Clark	$811,213	$1,576,305	$0	$0
485.	Ryan Arcidiacono	$774,727	$0	$0	$0
486.	Trendon Watford	$768,830	$1,563,518	$1,836,096	$1,988,598
487.	Patrick Patterson	$737,067	$0	$0	$0
488.	Devontae Cacok	$726,128	$1,576,305	$0	$0
489.	Admiral Schofield	$723,741	$1,576,305	$0	$0
490.	Ishmail Wainright	$707,311	$1,701,305	$0	$0
491.	Shaun Livingston	$666,666	$0	$0	$0
492.	Malik Fitts	$630,874	$1,752,638	$0	$0
493.	Sam Hauser	$619,498	$1,563,518	$0	$0
494.	Amir Coffey	$573,576	$1,576,305	$0	$0
495.	Joe Wieskamp	$563,663	$1,576,305	$0	$0
496.	Keifer Sykes	$558,345	$1,563,518	$0	$0
497.	Greg Monroe	$552,076	$0	$0	$0
498.	Haywood Highsmith	$547,701	$1,752,638	$1,902,137	$0
499.	Nik Stauskas	$534,993	$2,193,920	$0	$0
500.	Davon Reed	$532,398	$1,576,305	$0	$0
501.	Wenyen Gabriel	$506,530	$0	$0	$0
502.	Jose Alvarado	$499,852	$1,563,518	$1,836,096	$1,988,598
503.	Chris Silva	$479,650	$0	$0	$0
504.	Georgios Kalaitzakis	$462,629	$0	$0	$0
504.	Sharife Cooper	$462,629	$1,576,305	$0	$0
504.	Skylar Mays	$462,629	$1,576,305	$0	$0
504.	Brodric Thomas	$462,629	$1,576,305	$0	$0
504.	David Duke	$462,629	$1,576,305	$0	$0
504.	Kessler Edwards	$462,629	$1,576,305	$0	$0
504.	Arnoldas Kulboka	$462,629	$1,576,305	$0	$0
504.	Scottie Lewis	$462,629	$1,576,305	$0	$0
504.	Tyler Cook	$462,629	$1,576,305	$0	$0
504.	RJ Nembhard	$462,629	$1,576,305	$0	$0
504.	Markus Howard	$462,629	$1,576,305	$0	$0
504.	Jamorko Pickett	$462,629	$1,576,305	$0	$0
504.	Sean Chris Smith	$462,629	$1,576,305	$0	$0
504.	Chris Chiozza	$462,629	$1,576,305	$0	$0
504.	Duane Washington Jr	$462,629	$1,576,305	$0	$0
504.	Jay Scrubb	$462,629	$1,576,305	$0	$0
504.	Yves Pons	$462,629	$1,576,305	$0	$0
504.	Sandro Mamukelashvili	$462,629	$1,576,305	$0	$0
504.	Nathan Knight	$462,629	$1,576,305	$0	$0
504.	McKinley Wright	$462,629	$1,576,305	$0	$0
504.	Jericho Sims	$462,629	$1,576,305	$0	$0
504.	Ignas Brazdeikis	$462,629	$1,576,305	$0	$0
504.	Keljin Blevins	$462,629	$1,576,305	$0	$0
504.	Neemias Queta	$462,629	$1,576,305	$0	$0
504.	Justin Champagnie	$462,629	$1,576,305	$0	$0
504.	David Johnson	$462,629	$1,576,305	$0	$0
504.	Trent Forrest	$462,629	$1,576,305	$0	$0
504.	Joel Ayayi	$462,629	$1,576,305	$0	$0
504.	Cassius Winston	$462,629	$1,576,305	$0	$0
533.	Justin Anderson	$445,828	$0	$0	$0
534.	Theo Pinson	$440,710	$1,576,305	$0	$0
535.	Charlie Brown	$431,151	$1,576,305	$0	$0
536.	James Ennis	$386,127	$0	$0	$0
536.	Langston Galloway	$386,127	$0	$0	$0
536.	Tim Frazier	$386,127	$0	$0	$0
539.	Kyle Guy	$383,079	$0	$0	$0
540.	Sam Dekker	$350,000	$0	$0	$0
541.	Quinndary Weatherspoon	$346,491	$0	$0	$0
542.	Brandon Goodwin	$343,988	$1,576,305	$0	$0
543.	Terry Taylor	$342,984	$1,576,305	$0	$0
544.	Malcolm Hill	$324,373	$1,576,305	$0	$0
545.	Louis King	$316,396	$0	$0	$0
546.	Justin Jackson	$308,493	$0	$0	$0
546.	Shaquille Harrison	$308,493	$0	$0	$0
546.	DJ Wilson	$308,493	$0	$0	$0
549.	Jeff Dowtin	$305,761	$0	$0	$0
550.	Trevelin Queen	$303,102	$0	$0	$0
550.	Paul Watson	$303,102	$0	$0	$0
552.	Myles Powell	$300,443	$1,576,305	$0	$0
553.	Jontay Porter	$300,000	$0	$0	$0
554.	Mason Jones	$295,125	$1,576,305	$0	$0
555.	Eugene Omoruyi	$281,831	$0	$0	$0
556.	Justin Robinson	$265,953	$0	$0	$0
557.	Ja'Vonte Smart	$265,878	$1,576,305	$0	$0
558.	Mychal Mulder	$257,902	$0	$0	$0
559.	Tyler Johnson	$257,418	$0	$0	$0
560.	Cassius Stanley	$256,734	$0	$0	$0
560.	Zylan Cheatham	$256,734	$0	$0	$0
562.	Devon Dotson	$239,291	$0	$0	$0
563.	Olivier Sarr	$236,633	$1,576,305	$0	$0
564.	Marcus Garrett	$236,632	$0	$0	$0
565.	Lindell Wigginton	$233,973	$0	$0	$0
566.	Jay Huff	$225,997	$0	$0	$0
567.	Aaron Henry	$223,338	$0	$0	$0
568.	Freddie Gillespie	$221,156	$0	$0	$0
569.	JaQuori McLaughlin	$220,679	$0	$0	$0
570.	Tacko Fall	$218,021	$0	$0	$0
570.	Petr Cornelie	$218,021	$0	$0	$0
572.	Damyean Dotson	$205,662	$0	$0	$0
573.	Xavier Moon	$202,069	$0	$0	$0
574.	Tyrone Wallace	$198,760	$0	$0	$0
575.	Juwan Morgan	$191,860	$0	$0	$0
575.	Norvel Pelle	$191,860	$0	$0	$0
575.	Rayjon Tucker	$191,860	$0	$0	$0
575.	Tremont Waters	$191,860	$0	$0	$0
579.	Brandon Williams	$180,798	$1,576,305	$0	$0
580.	Moses Wright	$172,821	$0	$0	$0
580.	DeJon Jarreau	$172,821	$0	$0	$0
582.	Dakota Mathias	$171,156	$0	$0	$0
582.	Matt Mooney	$171,156	$0	$0	$0
584.	Daulton Hommes	$167,504	$0	$0	$0
585.	Grant Riller	$162,186	$0	$0	$0
586.	Lindy Waters III	$159,527	$1,576,305	$0	$0
587.	Joe Johnson	$151,821	$0	$0	$0
587.	CJ Miles	$151,821	$0	$0	$0
587.	Ersan Ilyasova	$151,821	$0	$0	$0
587.	Darren Collison	$151,821	$0	$0	$0
587.	Anthony Tolliver	$151,821	$0	$0	$0
592.	Chaundee Brown	$146,234	$0	$0	$0
593.	Xavier Sneed	$146,233	$0	$0	$0
594.	Mario Chalmers	$138,019	$0	$0	$0
595.	Brandon Knight	$137,336	$0	$0	$0
596.	Anthony Lamb	$136,095	$0	$0	$0
597.	Troy Williams	$122,741	$0	$0	$0
598.	Feron Hunt	$116,987	$0	$0	$0
599.	Matt Ryan	$111,669	$0	$0	$0
600.	Emmanuel Mudiay	$111,457	$0	$0	$0
601.	Mac McClung	$106,352	$0	$0	$0
601.	Carlik Jones	$106,352	$0	$0	$0
601.	Braxton Key	$106,352	$0	$0	$0
601.	Hassani Gravett	$106,352	$0	$0	$0
601.	Paris Bass	$106,352	$0	$0	$0
606.	Jordan Bell	$102,831	$0	$0	$0
606.	Cheick Diallo	$102,831	$0	$0	$0
608.	DJ Stewart	$101,034	$0	$0	$0
609.	Derrick Walton	$95,930	$0	$0	$0
609.	DaQuan Jeffries	$95,930	$0	$0	$0
609.	Justin James	$95,930	$0	$0	$0
609.	Jaylen Hoard	$95,930	$0	$0	$0
609.	Scotty Hopson	$95,930	$0	$0	$0
609.	BJ Johnson	$95,930	$0	$0	$0
609.	Jaylen Morris	$95,930	$0	$0	$0
616.	Demetrius Jackson	$92,857	$92,857	$92,857	$0
617.	Chris Clemons	$85,578	$0	$0	$0
617.	Cameron Oliver	$85,578	$0	$0	$0
617.	Malik Newman	$85,578	$0	$0	$0
617.	George King	$85,578	$0	$0	$0
617.	Nate Hinton	$85,578	$0	$0	$0
617.	Reggie Perry	$85,578	$0	$0	$0
617.	Jemerrio Jones	$85,578	$0	$0	$0
617.	Emanuel Terry	$85,578	$0	$0	$0
625.	Gabriel Lundberg	$79,764	$0	$0	$0
626.	Anthony Barber	$53,176	$0	$0	$0
626.	Malik Ellison	$53,176	$0	$0	$0
626.	Justin Tillman	$53,176	$0	$0	$0
626.	Tre Scott	$53,176	$0	$0	$0
626.	Jaysean Paige	$53,176	$0	$0	$0
626.	Trayvon Palmer	$53,176	$0	$0	$0
626.	Micah Potter	$53,176	$0	$0	$0
626.	Ahmad Caver	$53,176	$0	$0	$0
626.	Shaq Buchanan	$53,176	$0	$0	$0
626.	Jon Teske	$53,176	$0	$0	$0
626.	Aric Holman	$53,176	$0	$0	$0
626.	Javin DeLaurier	$53,176	$0	$0	$0
626.	Tyler Hall	$53,176	$0	$0	$0
626.	Rob Edwards	$53,176	$0	$0	$0
626.	Aleem Ford	$53,176	$0	$0	$0
626.	MJ Walker	$53,176	$0	$0	$0
626.	Jarron Cumberland	$53,176	$0	$0	$0
626.	Cameron McGriff	$53,176	$0	$0	$0
626.	Ade Murkey	$53,176	$0	$0	$0
626.	Jaime Echenique	$53,176	$0	$0	$0
626.	Jordan Goodwin	$53,176	$0	$0	$0
626.	Jordan Schakel	$53,176	$0	$0	$0
626.	Craig Sword	$53,176	$0	$0	$0
649.	Jared Harper	$50,517	$0	$0	$0
